iteration;totalTime;id;molA;molB;molC;molD
1;1;1;3;3;0;0
2;2;1;8;8;0;0
3;3;1;12;12;0;0
4;4;1;18;17;1;0
5;5;1;23;22;1;0
6;6;1;27;26;1;0
7;7;1;36;34;2;0
8;8;1;41;39;2;0
9;9;1;49;46;3;0
10;10;1;56;51;5;0
11;11;1;63;57;6;0
12;12;1;65;58;7;0
13;13;1;70;62;8;0
14;14;1;75;67;8;0
15;15;1;79;71;8;0
16;16;1;80;71;9;0
17;17;1;85;75;10;0
18;18;1;88;76;12;0
19;19;1;93;79;14;0
20;20;1;97;82;15;0
21;21;1;101;85;16;0
22;22;1;104;88;16;0
23;23;1;110;94;16;0
24;24;1;114;97;17;0
25;25;1;121;102;19;0
26;26;1;126;107;19;0
27;27;1;129;108;21;0
28;28;1;135;113;22;0
29;29;1;143;120;23;0
30;30;1;150;123;27;0
31;31;1;156;128;28;0
32;32;1;162;134;28;0
33;33;1;170;142;28;0
34;34;1;176;146;30;0
35;35;1;180;150;30;0
36;36;1;185;152;33;0
37;37;1;190;155;35;0
38;38;1;196;158;38;0
39;39;1;198;159;39;0
40;40;1;204;160;44;0
41;41;1;213;169;44;0
42;42;1;218;173;45;0
43;43;1;226;180;46;0
44;44;1;229;182;47;0
45;45;1;236;187;49;0
46;46;1;241;188;53;0
47;47;1;247;192;55;0
48;48;1;254;198;56;0
49;49;1;258;200;58;0
50;50;1;265;205;60;0
51;51;1;274;210;64;0
52;52;1;276;212;64;0
53;53;1;280;214;66;0
54;54;1;286;219;67;0
55;55;1;296;227;69;0
56;56;1;301;230;71;0
57;57;1;303;229;74;0
58;58;1;308;232;76;0
59;59;1;313;233;80;0
60;60;1;316;234;82;0
61;61;1;321;238;83;0
62;62;1;331;246;85;0
63;63;1;336;250;86;0
64;64;1;341;254;87;0
65;65;1;346;259;87;0
66;66;1;350;263;87;0
67;67;1;352;265;87;0
68;68;1;354;265;89;0
69;69;1;356;265;91;0
70;70;1;360;267;93;0
71;71;1;365;271;94;0
72;72;1;366;268;98;0
73;73;1;371;272;99;0
74;74;1;373;269;104;0
75;75;1;381;271;110;0
76;76;1;387;273;114;0
77;77;1;393;276;117;0
78;78;1;395;276;119;0
79;79;1;402;280;122;0
80;80;1;405;279;126;0
81;81;1;407;280;127;0
82;82;1;411;283;128;0
83;83;1;417;287;130;0
84;84;1;419;287;132;0
85;85;1;423;287;136;0
86;86;1;429;290;139;0
87;87;1;432;291;141;0
88;88;1;437;295;142;0
89;89;1;443;293;150;0
90;90;1;448;296;152;0
91;91;1;454;302;152;0
92;92;1;457;303;154;0
93;93;1;460;304;156;0
94;94;1;465;305;160;0
95;95;1;470;309;161;0
96;96;1;472;309;163;0
97;97;1;477;310;167;0
98;98;1;479;309;170;0
99;99;1;487;315;172;0
100;100;1;492;317;175;0
101;101;1;501;326;175;0
102;102;1;505;327;178;0
103;103;1;511;328;183;0
104;104;1;515;326;189;0
105;105;1;518;324;194;0
106;106;1;522;327;195;0
107;107;1;526;328;198;0
108;108;1;526;325;200;1
109;109;1;532;330;200;2
110;110;1;534;332;200;2
111;111;1;540;336;200;4
112;112;1;543;336;200;7
113;113;1;549;341;200;8
114;114;1;554;344;200;10
115;115;1;558;347;200;11
116;116;1;565;350;200;15
117;117;1;569;352;200;17
118;118;1;576;352;200;24
119;119;1;580;353;200;27
120;120;1;586;356;200;30
121;121;1;593;361;200;32
122;122;1;600;363;200;37
123;123;1;607;367;200;40
124;124;1;613;370;200;43
125;125;1;613;364;200;49
126;126;1;619;368;200;51
127;127;1;623;368;200;55
128;128;1;627;369;200;58
129;129;1;633;369;200;64
130;130;1;639;372;200;67
131;131;1;647;375;200;72
132;132;1;654;375;200;79
133;133;1;658;378;200;80
134;134;1;662;378;200;84
135;135;1;665;379;200;86
136;136;1;669;380;200;89
137;137;1;674;381;200;93
